song,artist,20241105,20241029,20241022,20241015,20241008,20241001,20240924,20240917,20240910,20240903,20240827,20240823,20240820,20240813,20240806,20240730,20240723,20240716,20240709,20240702,20240625,20240618,20240616,20240611,20240604,20240521,20240519,20240514,20240507,20240430,20240416,20240414,20240409,20240402,20240325,20240319,20240312,20240310,20240305,20240227,20240220,20240213,20240206,20240204,20240130,20240123,20240116,20240109,20240102,20231219,20231212,20231210,20231205,20231128,20231121,20231114,20231107,20231031,20231024,20231017,20231010,20231003,20230926,20230919,20230912,20230905,20230829,20230822,20230815,20230808,20230801,20230725,20230718,20230711,20230704,20230627,20230620,20230613,20230606,20230530,20230523,20230516,20230509,20230502,20230425,20230418,20230411,20230404,20230328,20230321,20230314,20230307,20230228,20230221,20230214,20230207,20230131,20230124,20230117,20230110,20230103,20221227,20221220,20221213,20221206,20221129,20221122,20221115,20221108,20221101,20221025,20221018,20221011,20221004,20220927,20220920,20220913,20220906,20220830,20220823,20220419
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,,23,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(You're the) Devil in Disguise,Elvis Presley,,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,,,,,,,,,
9 to 5,Dolly Parton,,,,,,,,,,,,,,,,,,9,13,,7,,,,15,,,,,,,,,,,,25,,,,,,12,,,,,11,,,,,,,,,,,,,21,,,,,,12,,,,,,,,19,,,20,,11,,,13,15,,,,7,6,,,,8,,,18,,,,,,,13.5,,,,,,14.5,,14,13.5,,,,,,,13,,
99 Luftballons,Nena,7,,7,,,6,,,,,,,,,,14,13,6,5,,,12,,13,,24,10,18,,,19,,,8,,12,,,,,12,,,,,,,12,11,16,,,,,,,5,,8,13,,,,,,,,,,,,,25,16,,,,,17,,,,,,,,23,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Ghost,Travis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
A Horse With No Name,America,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Little Respect,Erasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Million Dreams,Ziv Zaifman/Hugh Jackman/Michelle Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accidentally in Love,Counting Crows,,,,,,,,,,23,,,,,22,,25,10,,,,,15,18,,,,6,,,,,,17,,22,,1,1,,,4,,21,,,,2,,,,,,,,5,,,,,,15,,,,,,,,,,,,1,,,,22,,,,,,,,4,1,,,,,,,,,,,,14.5,,,,,,,14.5,,,,,,,,,,,17,,13,,
All I Wanna Do,Sheryl Crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I Want For Christmas Is You,Mariah Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,15,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14.5,13,,,,,,,,,,,,,,,,
All Star,Smash Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All The Small Things,Blink-182,3,,11,,2,,,1,12,,1,3,22,3,13,,,,,20,,1,13,,,,9,,12,1,26,,10,,,,,3,,,,,,15,2,4,1,,2,,,2,1,,,,,,3,,18,,2,,,20,,,1,,26,,,28,3,,,14,5,1,8,1,2,1,1,6,28,1,2,16,13.5,,2,,1,4,14,14,14.5,8,15.5,14,13.5,14.5,,,,14.5,14.5,,14,,14.5,13.5,,,,,,14,15
All These Things That I've Done,The Killers,,,,,6,,,10,,,,,,,,,,,,,,,,,,,,,,17,,,,,15,,,,,,,,,,,,25,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,17,,,,,,,22,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,14,,,,,14,
Alright,Supergrass,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,28,,,,,9,19,13.5,,,,,,,,,3,,,13.5,,,,,,,,,,,,,,,,,14,
Always Look on the Bright Side of Life,Monty Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,5,,,,,,,,,,,,14,,,,,,,,,,,,,,13.5,,,,,17,,,,
Angels,Robbie Williams,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,26,,,,,,,,12,,16,,,,,,,,,,,,,,,,11,,,,,,,,,,,20,7,,,,12,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,14,,,13,,,,,,,,14.5,,,,,,,,
